index;event-id;origin_time(UTC);t_err;lat;lon;h_err;depth;v_err;gap;ml;md;place;event_type
00001;2024_00001;2024-01-01T03:50:59.050; 0.25;46.8332;10.0805;  0.6;  9.3;  0.6; 94; 1.4; 1.5;GUARDA (SVIZZERA);[earthquake]
00002;2024_00002;2024-01-01T13:21:37.690; 0.10;46.3562;12.9600;  0.6; 11.7;  0.6;183; 0.5; 0.8;TOLMEZZO (FRIULI);[earthquake]
00003;2024_00003;2024-01-01T17:41:32.960; 0.20;46.4353;13.3192;  0.9;  9.6;  0.9;126; 0.5; 0.9;DOGNA (FRIULI);[earthquake]
00004;2024_00004;2024-01-01T20:53:50.040; 0.13;45.7910;11.1027;  0.4; 11.8;  0.4; 88; 1.4; 1.5;PASUBIO (TRENTINO);[earthquake]
00005;2024_00005;2024-01-02T02:09:56.810; 0.21;46.6005;13.8503;  1.1;  4.3;  1.1;239; 1.1; 1.1;VILLACH (AUSTRIA);[earthquake]
00006;2024_00006;2024-01-02T04:08:03.910; 0.34;46.2863;12.6802;  0.4; 11.6;  0.4; 67; 2.0; 2.2;CLAUTANA (FRIULI);[earthquake]
00007;2024_00007;2024-01-02T07:54:07.110; 0.13;46.2845;12.6665;  0.4;  9.9;  0.4; 77; 1.2; 1.9;CLAUTANA (FRIULI);[earthquake]
00008;2024_00008;2024-01-02T11:21:10.140; 0.13;46.2462;13.5550;  0.5; 11.0;  0.5; 75; 0.8; 1.1;PULFERO (FRIULI);[earthquake]
00009;2024_00009;2024-01-03T00:58:06.910; 0.17;45.9833;12.3175;  1.3; 10.9;  1.3;302; 0.7; 0.5;V.VENETO (VENETO);[earthquake]
00010;2024_00010;2024-01-03T08:08:10.730; 0.09;46.3833;13.0223;  0.5;  9.5;  0.5;151; 0.4; 0.7;TOLMEZZO (FRIULI);[earthquake]
00011;2024_00011;2024-01-03T15:02:12.820; 0.03;46.2777;12.6670;  0.3; 11.0;  0.3;101; 0.5; 1.1;CLAUTANA (FRIULI);[earthquake]
00012;2024_00012;2024-01-03T15:09:36.730; 0.09;46.2712;12.6665;  0.7; 11.5;  0.7; 92; 0.9; 1.1;CLAUTANA (FRIULI);[earthquake]
00013;2024_00013;2024-01-04T10:38:52.740; 0.25;45.8972;10.9035;  0.6; 12.5;  0.6;123; 1.7; 2.1;RIVA (TRENTINO);[earthquake]
00014;2024_00014;2024-01-05T02:38:44.670; 0.13;45.6168;13.8915;  2.4;  9.1;  2.4;174; 0.8; 0.7;S.DORLIGO D.VALLE;[earthquake]
00015;2024_00015;2024-01-05T04:36:28.200; 0.05;46.2817;12.5137;  0.7;  8.9;  0.7;156; 0.5; 1.8;CLAUT (FRIULI);[earthquake]
00016;2024_00016;2024-01-05T08:33:42.110; 0.16;46.0002;14.2785;  1.5; 12.1;  1.5;115; 1.1; 1.6;HORJUL (SLOVENIA);[earthquake]
00017;2024_00017;2024-01-05T16:52:54.290; 0.11;46.0772;12.2150;  1.0; 14.5;  1.0;159; 0.6; 1.1;COL VISENTIN (VENETO);[earthquake]
00018;2024_00018;2024-01-05T17:31:36.790; 0.13;46.3178;13.5762;  0.6;  7.2;  0.6; 94; 0.5; 1.2;ZAGA (SLOVENIA);[earthquake]
00019;2024_00019;2024-01-05T17:38:41.640; 0.11;46.1377;13.6467;  0.6; 13.6;  0.6; 87; 1.1; 2.2;STREGNA (FRIULI);[earthquake]
00020;2024_00020;2024-01-05T20:57:32.730; 0.17;46.0675;14.2952;  0.9; 15.9;  0.9; 81; 1.1; 1.4;HORJUL (SLOVENIA);[earthquake]
00021;2024_00021;2024-01-05T22:06:52.890; 0.14;46.4528;13.7693;  0.9; 14.0;  0.9;157; 0.8; 0.9;KRANJSKA GORA (SLOVENIA);[earthquake]
00022;2024_00022;2024-01-06T03:03:40.510; 0.90;45.9010;12.1425;  4.7; 17.9;  4.7;100; 1.0; 0.3;PIEVE DI SOLIGO (VENETO);[earthquake]
00023;2024_00023;2024-01-07T04:55:18.210; 0.07;46.4337;14.3395;  2.3; 10.8;  2.3;232; 1.3; 1.1;KOSCHUTNIK (AUSTRIA);[earthquake]
00024;2024_00024;2024-01-07T06:58:20.760; 0.20;45.9005;11.8358;  0.7; 12.4;  0.7;123; 2.3; 2.6;CAVASO DEL TOMBA (VENETO);[earthquake]
00025;2024_00025;2024-01-07T07:50:07.890; 0.06;46.3917;13.0460;  0.6; 11.6;  0.6;254; 0.4; 0.7;TOLMEZZO (FRIULI);[earthquake]
00026;2024_00026;2024-01-07T08:57:01.170; 0.09;46.4313;14.3313;  1.2;  9.8;  1.2;220; 1.7; 1.4;KOSCHUTNIK (AUSTRIA);[earthquake]
00027;2024_00027;2024-01-07T12:01:33.800; 0.19;46.1872;12.4227;  0.5; 11.5;  0.5; 61; 2.6; 3.1;PIEVE D'ALPAGO (VENETO);[earthquake]
00028;2024_00028;2024-01-08T02:44:09.920; 0.16;46.0880;14.2185;  0.6; 20.2;  0.6; 97; 1.3; 1.2;SKOFIA-LOKA (SLOVENIA);[earthquake]
00029;2024_00029;2024-01-08T10:49:05.270; 0.23;46.4185;14.3360;  1.2;  9.5;  1.2;218; 1.7; 1.9;KOSCHUTNIK (AUSTRIA);[earthquake]
00030;2024_00030;2024-01-08T22:51:15.290; 0.27;45.9310;12.1563;  1.1;  9.8;  1.1;131; 1.0; 1.9;CISON DI VALMARINO (VENETO);[earthquake]
00031;2024_00031;2024-01-08T22:56:29.850; 0.16;46.3987;12.8618;  0.4;  3.7;  0.4; 69; 0.8; 1.9;VILLA SANTINA (FRIULI);[earthquake]
00032;2024_00032;2024-01-09T00:02:25.930; 0.31;46.4683;14.3557;  0.9;  8.2;  0.9;138; 3.4; 2.7;KOSCHUTNIK (AUSTRIA);[earthquake]
00033;2024_00033;2024-01-09T00:39:32.570; 0.33;46.4523;14.3520;  0.9; 12.2;  0.9;134; 2.2; 2.7;KOSCHUTNIK (AUSTRIA);[earthquake]
00034;2024_00034;2024-01-09T01:31:12.450; 0.17;46.4485;14.3245;  3.4;  5.5;  3.4;243; 1.1; 0.4;LOIBL PASS (AUSTRIA);[earthquake]
00035;2024_00035;2024-01-09T03:41:20.370; 0.51;46.4435;14.3452;  1.2;  8.1;  1.2;133; 1.6; 2.2;KOSCHUTNIK (AUSTRIA);[earthquake]
00036;2024_00036;2024-01-09T05:45:40.130; 0.31;46.4290;14.3233;  1.0;  8.4;  1.0;141; 1.5; 1.3;LOIBL PASS (AUSTRIA);[earthquake]
00037;2024_00037;2024-01-09T06:34:03.310; 0.12;46.4502;13.0857;  0.6; 12.6;  0.6;122; 0.5; 1.4;M.SERNIO (FRIULI);[earthquake]
00038;2024_00038;2024-01-09T10:46:08.070; 0.38;45.9708;13.7083;  4.8; 19.2;  4.8;206; 1.2; 1.1;TRNOVO (SLOVENIA);[earthquake]
00039;2024_00039;2024-01-09T23:52:42.680; 0.17;45.9173;12.1800;  0.8; 10.1;  0.8;146; 0.7;----;CISON DI VALMARINO (VENETO);[earthquake]
00040;2024_00040;2024-01-10T00:05:18.030; 0.24;45.9208;12.1530;  1.7; 14.9;  1.7;135; 1.0;----;CISON DI VALMARINO (VENETO);[earthquake]
00041;2024_00041;2024-01-10T01:15:58.360; 0.07;46.1082;13.6968;  0.3; 13.9;  0.3;116; 0.8;----;STREGNA (FRIULI);[earthquake]
00042;2024_00042;2024-01-10T03:22:24.930; 0.35;46.2700;12.9302;  1.2;  2.1;  1.2;114; 0.5;----;PIELUNGO (FRIULI);[earthquake]
