code,name,latitude,longitude,elevation,site name,country,institution,online,EIDA 1/0,EIDA node
IV,VMAN/A313A,45.3135,10.6628,64,Volta Mantovana (MN),Italy,,,1,
NI,VINO,46.25383,13.2755,,,Italy,,,1,
SI,ABSI,46.7285,11.3205,1801,,Italy,,,1,
OX,AGOR,46.2829,12.0472,,,Italy,,,1,
OX,BAD,46.234,13.2438,,,Italy,,,1,
OX,BOO,46.3195,13.0984,,,Italy,,,1,
SI,BOSI,46.4952,11.3185,242,,Italy,,,1,
IV,BOZZ/A312A,45.1071,10.482,30,Bozzolo,Italy,,,1,
OX,MARN,45.6378,11.2099,,,Italy,,,1,
IV,MAGA,45.7753,10.6286,1265,,Italy,,,1,
OX,CAE,46.009,12.4379,,,Italy,,,1,
IV,MABI,46.05492,10.514,1853,,Italy,,,1,
IV,PRMA,44.76374,10.31311,78,,Italy,,,1,
IV,PTCC,46.4075,13.354,700,,Italy,,,1,
IV,OPPE,45.3082,11.1724,20,,Italy,,,1,
IV,NDIM,44.8873,10.8987,19,,Italy,,,1,
IV,CAVE,44.8658,11.0031,18,,Italy,,,1,
ZZZ,A290A,46.5068,10.928,1.729,San Nicolo - Val d'Ultimo (BZ),Italy,,,,
ZZZ,A291A,46.6246,11.8805,1.568,Badia,Italy,,,,
ZZZ,A300A,45.819313,13.127954,0.006,Muzzana del Turgnano (UD),Italy,,,,
ZZZ,A301A,45.619781,12.620993,0.002,Isiata (VE),Italy,,,,
ZZZ,A302A,45.63353,11.971315,0.026,Resana (TV),Italy,,,,
ZZZ,A303A,45.344273,12.31822,0.011,Lido-Pellestrina (VE),Italy,,,,
ZZZ,A305A,44.959236,12.432347,-0.003,Porto Tolle (RO),Italy,,,,
ZZZ,A306A,44.535919,10.596118,0.463,Viano (RE) - Italy,Italy,,,,
ZZZ,A308A,44.582485,12.005684,-0.002,Longastrino (FE),Italy,,,,
ZZZ,BOZZ/A312A,45.10738,10.481657,30,Bozzolo (MN) - Italy,Italy,,,,
ZZZ,A304A,45.0016739,12.033501,0.001,Bellombra - adraia (RO),Italy,,,,
OX,ZOU2,46.5584,12.9729,,,Italy,,,1,
