MODEL,WEIGHT,station,PHASE,THRESHOLD,timestamp,prob
EQTransformer,instance,ABTA,P,0.2,2023-06-05T21:00:09.810000Z,4
EQTransformer,instance,ABTA,S,0.2,2023-06-05T21:00:18.740000Z,3
EQTransformer,instance,ACOM,S,0.2,2023-06-05T21:00:24.080000Z,3
EQTransformer,instance,ACOM,S,0.2,2023-06-11T21:30:40.670000Z,2
EQTransformer,instance,ACOM,S,0.2,2023-06-19T12:49:47.810000Z,2
EQTransformer,instance,ACOM,P,0.2,2023-06-21T14:18:26.770000Z,0
EQTransformer,instance,BAD,S,0.2,2023-06-04T00:04:23.400000Z,2
EQTransformer,instance,BAD,S,0.2,2023-06-05T08:29:10.700000Z,0
EQTransformer,instance,BAD,S,0.2,2023-06-06T07:43:39.000000Z,0
EQTransformer,instance,BAD,S,0.2,2023-06-13T06:31:19.080000Z,2
EQTransformer,instance,BAD,S,0.2,2023-06-19T22:04:29.120000Z,2
EQTransformer,instance,BAD,S,0.2,2023-06-19T23:50:36.600000Z,2
EQTransformer,instance,BAD,S,0.2,2023-06-23T05:22:10.500000Z,3
EQTransformer,instance,BAD,P,0.2,2023-06-26T03:04:17.530000Z,1
EQTransformer,instance,BAD,S,0.2,2023-06-26T03:04:20.310000Z,3
EQTransformer,instance,BAD,P,0.2,2023-06-28T01:24:26.430000Z,3
EQTransformer,instance,BAD,S,0.2,2023-06-28T01:24:29.830000Z,0
EQTransformer,instance,BALD,P,0.2,2023-06-02T02:18:29.010000Z,2
EQTransformer,instance,BOO,P,0.2,2023-06-05T08:28:03.340000Z,0
EQTransformer,instance,BOO,S,0.2,2023-06-05T08:28:40.500000Z,0
EQTransformer,instance,BOO,S,0.2,2023-06-23T05:22:08.840000Z,2
EQTransformer,instance,BOO,S,0.2,2023-06-24T12:58:14.880000Z,2
EQTransformer,instance,BOO,P,0.2,2023-06-26T03:04:17.660000Z,2
EQTransformer,instance,BOO,S,0.2,2023-06-28T01:24:26.110000Z,1
EQTransformer,instance,CADS,P,0.2,2023-06-09T00:43:29.160000Z,1
EQTransformer,instance,CADS,S,0.2,2023-06-09T11:30:25.000000Z,2
EQTransformer,instance,CADS,S,0.2,2023-06-28T21:01:04.500000Z,0
EQTransformer,instance,CAE,S,0.2,2023-06-01T09:53:36.360000Z,3
EQTransformer,instance,CAE,S,0.2,2023-06-05T21:01:11.700000Z,3
EQTransformer,instance,CARE,P,0.2,2023-06-29T15:06:39.430000Z,0
EQTransformer,instance,CIMO,S,0.2,2023-06-05T21:01:01.500000Z,2
EQTransformer,instance,CIMO,S,0.2,2023-06-24T12:58:49.900000Z,2
EQTransformer,instance,CIMO,S,0.2,2023-06-28T23:03:57.100000Z,2
EQTransformer,instance,CIMO,S,0.2,2023-06-30T08:13:46.990000Z,3
EQTransformer,instance,CLUD,S,0.2,2023-06-05T08:29:38.200000Z,0
EQTransformer,instance,CLUD,S,0.2,2023-06-12T19:20:33.600000Z,2
EQTransformer,instance,CLUD,S,0.2,2023-06-23T05:22:07.700000Z,3
EQTransformer,instance,CLUD,S,0.2,2023-06-24T12:58:13.660000Z,3
EQTransformer,instance,CTI,S,0.2,2023-06-04T17:58:31.700000Z,0
EQTransformer,instance,CTI,S,0.2,2023-06-05T21:00:22.600000Z,3
EQTransformer,instance,CTI,S,0.2,2023-06-23T05:22:05.390000Z,3
