MODEL,WEIGHT,STATION,THRESHOLD,timestamp,PHASE,prob
EQTransformer,instance,ABTA,0.2,2023-06-05T21:00:09.810000Z,P,4
EQTransformer,instance,ABTA,0.2,2023-06-05T21:00:18.740000Z,S,3
EQTransformer,instance,ACOM,0.2,2023-06-05T21:00:24.080000Z,S,3
EQTransformer,instance,ACOM,0.2,2023-06-11T21:30:40.670000Z,S,2
EQTransformer,instance,ACOM,0.2,2023-06-19T12:49:47.810000Z,S,2
EQTransformer,instance,ACOM,0.2,2023-06-21T14:18:26.770000Z,P,0
EQTransformer,instance,BAD,0.2,2023-06-04T00:04:23.400000Z,S,2
EQTransformer,instance,BAD,0.2,2023-06-05T08:29:10.700000Z,S,0
EQTransformer,instance,BAD,0.2,2023-06-06T07:43:39.000000Z,S,0
EQTransformer,instance,BAD,0.2,2023-06-13T06:31:19.080000Z,S,2
EQTransformer,instance,BAD,0.2,2023-06-19T22:04:29.120000Z,S,2
EQTransformer,instance,BAD,0.2,2023-06-19T23:50:36.600000Z,S,2
EQTransformer,instance,BAD,0.2,2023-06-23T05:22:10.500000Z,S,3
EQTransformer,instance,BAD,0.2,2023-06-26T03:04:17.530000Z,P,1
EQTransformer,instance,BAD,0.2,2023-06-26T03:04:20.310000Z,S,3
EQTransformer,instance,BAD,0.2,2023-06-28T01:24:26.430000Z,P,3
EQTransformer,instance,BAD,0.2,2023-06-28T01:24:29.830000Z,S,0
EQTransformer,instance,BALD,0.2,2023-06-02T02:18:29.010000Z,P,2
EQTransformer,instance,BOO,0.2,2023-06-05T08:28:03.340000Z,P,0
EQTransformer,instance,BOO,0.2,2023-06-05T08:28:40.500000Z,S,0
EQTransformer,instance,BOO,0.2,2023-06-23T05:22:08.840000Z,S,2
EQTransformer,instance,BOO,0.2,2023-06-24T12:58:14.880000Z,S,2
EQTransformer,instance,BOO,0.2,2023-06-26T03:04:17.660000Z,P,2
EQTransformer,instance,BOO,0.2,2023-06-28T01:24:26.110000Z,S,1
EQTransformer,instance,CADS,0.2,2023-06-09T00:43:29.160000Z,P,1
EQTransformer,instance,CADS,0.2,2023-06-09T11:30:25.000000Z,S,2
EQTransformer,instance,CADS,0.2,2023-06-28T21:01:04.500000Z,S,0
EQTransformer,instance,CAE,0.2,2023-06-01T09:53:36.360000Z,S,3
EQTransformer,instance,CAE,0.2,2023-06-05T21:01:11.700000Z,S,3
EQTransformer,instance,CARE,0.2,2023-06-29T15:06:39.430000Z,P,0
EQTransformer,instance,CIMO,0.2,2023-06-05T21:01:01.500000Z,S,2
