EVENT,station,PHASE,timestamp,WEIGHT
0,VOJS,P,2023-06-01T07:39:12.940000Z,0
0,CADS,P,2023-06-01T07:39:16.760000Z,0
2,CAE,P,2023-06-01T09:27:58.710000Z,0
2,POLC,P,2023-06-01T09:27:59.230000Z,0
2,CAE,S,2023-06-01T09:27:59.360000Z,2
2,POLC,S,2023-06-01T09:28:00.770000Z,2
2,MLN,P,2023-06-01T09:28:02.560000Z,2
2,MLN,S,2023-06-01T09:29:03.500000Z,2
3,MLN,P,2023-06-01T09:53:31.780000Z,2
3,POLC,P,2023-06-01T09:53:32.040000Z,2
3,CIMO,P,2023-06-01T09:53:32.090000Z,2
3,CAE,P,2023-06-01T09:53:32.530000Z,2
3,MLN,S,2023-06-01T09:53:34.290000Z,2
3,CIMO,S,2023-06-01T09:53:35.530000Z,2
3,POLC,S,2023-06-01T09:53:35.700000Z,2
3,CAE,S,2023-06-01T09:53:36.360000Z,3
4,PANI,P,2023-06-01T10:02:08.430000Z,0
4,GAGG,P,2023-06-01T10:02:08.840000Z,0
4,LUSI,P,2023-06-01T10:02:10.410000Z,0
4,DOSS,P,2023-06-01T10:02:10.620000Z,0
4,OZOL,P,2023-06-01T10:02:11.290000Z,1
4,ZIAN,P,2023-06-01T10:02:11.410000Z,0
4,KOSI,P,2023-06-01T10:02:12.460000Z,0
4,VARA,P,2023-06-01T10:02:12.860000Z,3
4,CARE,P,2023-06-01T10:02:14.090000Z,0
5,PANI,P,2023-06-01T14:59:49.270000Z,0
5,GAGG,P,2023-06-01T14:59:49.830000Z,0
5,LUSI,P,2023-06-01T14:59:51.320000Z,0
5,DOSS,P,2023-06-01T14:59:51.480000Z,0
5,ZIAN,P,2023-06-01T14:59:52.320000Z,0
5,CTI,P,2023-06-01T14:59:52.970000Z,2
5,KOSI,P,2023-06-01T14:59:53.490000Z,0
5,CARE,P,2023-06-01T14:59:55.110000Z,0
6,PRED,P,2023-06-01T19:08:22.900000Z,0
6,ACOM,P,2023-06-01T19:08:23.040000Z,2
6,PTCC,P,2023-06-01T19:08:23.820000Z,0
6,PRED,S,2023-06-01T19:08:24.060000Z,1
6,ACOM,S,2023-06-01T19:08:24.670000Z,2
6,PTCC,S,2023-06-01T19:08:25.850000Z,0
6,ROBS,P,2023-06-01T19:08:25.870000Z,1
6,ROBS,S,2023-06-01T19:08:29.520000Z,2
7,CAE,P,2023-06-01T21:41:16.740000Z,0
7,POLC,P,2023-06-01T21:41:17.370000Z,0
7,VARN,P,2023-06-01T21:41:17.490000Z,0
7,CIMO,P,2023-06-01T21:41:18.550000Z,2
7,CAE,S,2023-06-01T21:41:19.090000Z,0
7,POLC,S,2023-06-01T21:41:20.320000Z,2
7,VARN,S,2023-06-01T21:41:20.450000Z,2
7,CIMO,S,2023-06-01T21:41:22.260000Z,3
8,GORS,P,2023-06-01T23:54:24.350000Z,0
8,VOJS,P,2023-06-01T23:54:27.270000Z,2
8,CADS,P,2023-06-01T23:54:27.650000Z,2
8,VOJS,S,2023-06-01T23:54:34.420000Z,2
9,LUSI,P,2023-06-02T02:18:27.140000Z,0
9,VARA,P,2023-06-02T02:18:27.430000Z,0
9,GAGG,P,2023-06-02T02:18:28.800000Z,0
