BUA eP   7705061140 5400        5650eS                        FL         70   1 gg
COLIeP   7705061140 5550        5930eS                        FL         60   1 gg
                 1                                               
COLIiP+  7705061234 3190        3520iS                        FL        100   2 gg
                 1                                               
COLIeP   7705061254 3000        3560eS                        FL         50   3 gg
                 1                                               
BUA eP   7705061941 0630         880iS                        FL        140   4 gg
COLIiP-  7705061941 0730        1050iS                        FL        150   4 gg
                 1                                               
BUA eP   7705070324 5640        5880iS                        FL        170   5 gg
COLIiP-  7705070324 5680        6000iS                        FL        100   5 gg
                 1                                               
BUA eP   7705070537 3490        3780iS                        FL        240   6 gg
COLIeP   7705070537 3570        3920iS                        FL        200   6 gg
                 1                                               
BUA iP-  7705071450 2130        2370iS                        FL        320   7 gg
COLIiP-  7705071450 2400        2820iS                        FL        260   7 gg
                 1                                               
BAD eP   7705072010 5870        6020iS                        FLD             8 gg
BUA eP   7705072010 5900        6090iS                        FLD       245   8 gg
COLIeP-  7705072011 0140         530iS                        FLD       195   8 gg
                 1                                              D
BUA eP   7705080619 2490        2880iS                        FL         80   9 gg
COLIeP   7705080619 2590        3000iS                        FL         70   9 gg
                 1                                               
BAD    4 7705081659 0000        1330iS                        FLD            10  g
BUA eP   7705081659 1160        1370iS                        FLD       100  10 gg
COLIeP   7705081659 1410        1820iS                        FLD       100  10 gg
                 1                                              D
LJU eP   7705082209 3820        4690eS                        SLD            11 gg
CEY eP   7705082209 4150        5200eS                        SLD            11 gg
TRI    4 7705082210 0000        6500eS                        SLD       650  11  g
                 1                                              D
BAD eP   7705090002 5680        5870iS                        FLD       111  12 gg
BUA eP   7705090002 5720        5960eS                        FLD       101  12 gg
COLIeP-  7705090002 5940        6370eS                        FLD        66  12 gg
                 1                                              D
BUA eP   7705090433 0480         770eS                        FL        110  13 gg
COLIeP   7705090433 0790        1330eS                        FL         80  13 gg
                 1                                               
BAD eP   7705090552 1580        1790iS                        FLD       128  14 gg
BUA eP   7705090552 1670        1970eS                        FLD       135  14 gg
COLIeP   7705090552 1710        2070eS                        FLD            14 gg
                 1                                              D
BOO iPC  7705092203 5230        5360iS                        FLD       312  15 gg
BUA iPC  7705092203 5320        5550iS                        FLD       256  15 gg
BAD iPC  7705092203 5330        5560iS                        FLD       340  15 gg
COLIiPD  7705092203 5560        5980iS                        FLD       210  15 gg
TRI eP   7705092204 0520        1550iS                        FLD            15 gg
LJU eP   7705092204 1000        2430iS                        FLD            15 gg
                 1                                              D
CEY iPD  7705100540 0160         800iS                        CLD            16 gg
TRI eP   7705100540 0590        1580eS                        CLD            16 gg
LJU iP   7705100540 0770        1780iS                        CLD            16 gg
COLIeP   7705100540 1490        3090eS                        CLD       795  16 gg
BUA iP   7705100540 1910        3870iS                        CLD            16 gg
BOO iP   7705100540 2000        4030iS                        CLD            16 gg
                 1                                              D
CEY eP   7705111332 5070        5420eS                        SLD            17 gg
TRI    4 7705111333 0000        6010eS                        SLD       400  17  g
LJU eP   7705111332 5630        6480eS                        SLD            17 gg
                 1                                              D
BOO eP   7705111335 3440        3550iS                        FLD        50  18 gg
BUA eP   7705111335 3500        3710iS                        FLD        65  18 gg
COLIeP   7705111335 3720        4100iS                        FLD            18 gg
                 1                                              D
BOO eP   7705111423 2380        2540eS                        FLD        70  19 gg
BAD eP   7705111423 2370        2530eS                        FLD        81  19 gg
BUA eP   7705111423 2450        2670eS                        FLD        53  19 gg
COLIeP   7705111423 2610        2980eS                        FLD        45  19 gg
                 1                                              D
TRI eP   7705111506 0120         460eS                        SLD       450  20 gg
CEY eP   7705111506 0120         520eS                        SLD            20 gg
LJU eP   7705111506 0550        1270eS                        SLD            20 gg
                 1                                              D
BOO eP   7705111655 0930        1120iS                        FLD        78  21 gg
BUA eP   7705111655 1080        1390eS                        FLD        83  21 gg
BAD eP   7705111655 1120        1490iS                        FLD       110  21 gg
COLIeP   7705111655 1380        1950eS                        FLD        63  21 gg
                 1                                              D
BOO iP+  7705120519 5100        5150iS                        FLD       125  22 gg
BUA eP   7705120519 5260        5480eS                        FLD        81  22 gg
BAD eP   7705120519 5330        5590eS                        FLD        70  22 gg
COLIeP   7705120519 5590        6100eS                        FLD        66  22 gg
                 1                                              D
BOO iPC  7705130305 0580         630eS                        FLD       206  23 gg
BUA eP-  7705130305 0730         940iS                        FLD       250  23 gg
BAD eP-  7705130305 0740         950iS                        FLD       192  23 gg
COLIiPD  7705130305 1020        1450iS                        FLD       170  23 gg
                 1                                              D
BOO eP   7705130636 0290         590eS                        FLD       103  24 gg
BAD eP   7705130636 0360         750eS                        FLD       105  24 gg
BUA eP   7705130636 0450         900eS                        FLD        80  24 gg
COLIeP   7705130636 0590        1130eS                        FLD        85  24 gg
                 1                                              D
BOO iP   7705130738 4020        4160iS                        FLD       140  25 gg
BAD eP   7705130738 4090        4280iS                        FLD       116  25 gg
BUA eP   7705130738 4100        4330iS                        FLD       141  25 gg
COLIeP   7705130738 4320        4730iS                        FLD       103  25 gg
                 1                                              D
BOO iP   7705131334 1320        1420iS                        FLD       106  26 gg
BUA eP   7705131334 1500        1740eS                        FLD        70  26 gg
BAD eP   7705131334 1560        1860eS                        FLD            26 gg
COLIeP   7705131334 1810        2340eS                        FLD        74  26 gg
                 1                                              D
BUA eP   7705131901 5230        5460iS                        FL         90  27 gg
COLIiP-  7705131901 5360        5690iS                        FL         70  27 gg
                 1                                               
BOO eP   7705151208 4810        4930iS                        FLD       110  28 gg
BUA eP   7705151208 4830        4970iS                        FLD       120  28 gg
BAD eP   7705151208 4850        5020iS                        FLD       110  28 gg
COLIeP   7705151208 5090        5500iS                        FLD       170  28 gg
                 1                                              D
BOO iP   7705151215 0500         620iS                        FLD       330  29 gg
BUA eP   7705151215 0680         970iS                        FLD       290  29 gg
BAD eP   7705151215 0730        1050iS                        FLD       275  29 gg
COLIeP   7705151215 0980        1530iS                        FLD       240  29 gg
                 1                                              D
BOO iP   7705151409 5740        5960iS                        FLD       130  30 gg
BAD eP   7705151409 5740        5930iS                        FLD       120  30 gg
BUA eP   7705151409 5840        6120iS                        FLD       130  30 gg
COLIeP   7705151409 5940        6340iS                        FLD       200  30 gg
                 1                                              D
TRI    4 7705151543 0000        3980eS                        CLD            31  g
CEY iP   7705151543 3000                                      CLD            31 g
LJU iPD  7705151543 3590        5120iS                        CLD            31 gg
COLIeP   7705151543 3930        5710eS                        CLD            31 gg
BAD eP   7705151543 4190        6090eS                        CLD       440  31 gg
BUA eP   7705151543 4270        6280eS                        CLD       527  31 gg
PRO    4 7705151543 0000        6300iS 3                      CLD            31  g
BOO eP   7705151543 4380        6450eS                        CLD       452  31 gg
                 1                                              D
BOO iP   7705161939 1890        1980iS                        FLD       400  32 gg
BUA iP   7705161939 1990        2170iS                        FLD       320  32 gg
BAD iP   7705161939 2010        2170iS                        FLD       370  32 gg
COLIiP   7705161939 2260        2680iS                        FLD       255  32 gg
                 1                                              D
BOO iP   7705170943 5470        5520iS                        FLD       305  33 gg
BUA iP   7705170943 5580        5770iS                        FLD       290  33 gg
BAD iP   7705170943 5580        5760iS                        FLD       280  33 gg
COLIiP   7705170943 5840        6260iS                        FLD       237  33 gg
                 1                                              D
CEY eP   7705171645 2190        2640eS                        CLD            34 gg
TRI eP   7705171645 2500        3200eS                        CLD       650  34 gg
LJU    4 7705171645 0000        3720eS                        CLD            34  g
                 1                                              D
BOO iP   7705171832 3940        4100iS                        FLD       180  35 gg
BAD iP   7705171832 4000        4210iS                        FLD       150  35 gg
BUA eP   7705171832 4080        4340iS                        FLD       120  35 gg
COLIeP   7705171832 4230        4660iS                        FLD       125  35 gg
                 1                                              D
LJU eP   7705191259 3780        4050eS                        SLD            36 gg
CEY eP   7705191259 3900        4280eS                        SLD            36 gg
TRI    4 7705191259 0000        5030eS                        SLD       500  36  g
                 1                                              D
BOO iP   7705192147 1970        2040iS                        FLD        80  37 gg
BUA eP   7705192147 1980        2060iS                        FLD        70  37 gg
BAD iP   7705192147 2080        2250iS                        FLD        65  37 gg
COLI   4 7705192147 0000        2620iS                        FLD            37  g
                 1                                              D
BOO eP   7705210259 2100        2280iS                        FLD        61  38 gg
BUA eP   7705210259 2280        2530iS                        FLD        55  38 gg
BAD iP-  7705210259 2270        2510iS                        FLD        65  38 gg
COLIiP-  7705210259 2510        2960iS                        FLD        45  38 gg
                 1                                              D
BOO eP   7705210512 4200        4760eS                        FL         30  39 gg
                 1                                               
BAD iP+  7705210731 2110        2290iS                        FLD       150  40 gg
BOO eP+  7705210731 2170        2380iS                        FLD        70  40 gg
BUA eP   7705210731 2200        2450iS                        FLD        85  40 gg
COLIiP-  7705210731 2290        2630iS                        FLD       113  40 gg
                 1                                              D
BOO iP-  7705211013 1430        1500iS                        FL             41 gg
                 1                                               
BOO iP+  7705211246 0720         840iS                        FL         90  42 gg
COLIeP   7705211246 0960        1230iS                        FL             42 gg
                 1                                               
BOO iP+  7705211704 5650        5830iS                        FLD       267  43 gg
BUA eP   7705211704 5820        6120iS                        FLD       155  43 gg
BAD eP   7705211704 5890        6250iS                        FLD       158  43 gg
COLIeP-  7705211705 0150         730iS                        FLD            43 gg
                 1                                              D
BOO iP   7705212042 0280         350iS                        FLD       313  44 gg
BUA iP   7705212042 0410         640iS                        FLD       320  44 gg
BAD iP   7705212042 0430         620iS                        FLD       310  44 gg
COLIiP   7705212042 0690        1130iS                        FLD       235  44 gg
                 1                                              D
BOO iPC  7705212225 0080         170iS                        FLD        60  45 gg
BAD eP   7705212225 0200         400iS                        FLD            45 gg
